字词,拼音
"疤","bā"
"哵","bā"
"捌","bā"
"笆","bā"
"粑","bā"
"紦","bā"
"羓","bā"
"柭","bā"
"奲","bā"
"蚼","bā"
"乺","bā"
"玿","bā"
"白","bái"
"拝","bài"
"败","bài"
"拜","bài"
"稗","bài"
"鞁","bài"
"薭","bài"
"贁","bài"
"韛","bài"
"百","bǎi"
"佰","bǎi"
"柏","bǎi"
"栢","bǎi"
"捭","bǎi"
"竡","bǎi"
"粨","bǎi"
"摆","bǎi"
"挀","bāi"
"掰","bāi"
"兡","bàike"
"産","baiwǎ"
"办","bàn"
"半","bàn"
"伴","bàn"
"扮","bàn"
"姅","bàn"
"拌","bàn"
"绊","bàn"
"秚","bàn"
"瓣","bàn"
"湴","bàn"
"鉡","bàn"
"靽","bàn"
"恊","bàn"
"蝯","bǎn"
"阪","bǎn"
"坂","bǎn"
"岅","bǎn"
"板","bǎn"
"版","bǎn"
"瓪","bǎn"
"钣","bǎn"
"粄","bǎn"
"舨","bǎn"
"魬","bǎn"
"扳","bān"
"攽","bān"
"班","bān"
"般","bān"
"颁","bān"
"斑","bān"
"搬","bān"
"斒","bān"
"瘢","bān"
"螁","bān"
"螌","bān"
"褩","bān"
"癍","bān"
"辬","bān"
"籵","bān"
"搫","bān"
"鴛","bān"
"胷","bān"
"墆","bànɡ"
"蚌","bànɡ"
"傍","bànɡ"
"棒","bànɡ"
"棓","bànɡ"
"谤","bànɡ"
"稖","bànɡ"
"蒡","bànɡ"
"镑","bànɡ"
"艕","bànɡ"
"玤","bànɡ"
"绑","bǎnɡ"
"榜","bǎnɡ"
"牓","bǎnɡ"
"膀","bǎnɡ"
"騯","bǎnɡ"
"縭","bānɡ"
"邦","bānɡ"
"垹","bānɡ"
"帮","bānɡ"
"捠","bānɡ"
"梆","bānɡ"
"浜","bānɡ"
"邫","bānɡ"
"幇","bānɡ"
"幚","bānɡ"
"韉","bānɡ"
"峫","bānɡ"
"窇","báo"
"嫑","báo"
"雹","báo"
"铇","báo"
"薄","báo"
"菢","bào"
"鲍","bào"
"靤","bào"
"勽","bào"
"报","bào"
"抱","bào"
"豹","bào"
"骲","bào"
"暴","bào"
"髱","bào"
"虣","bào"
"儤","bào"
"曓","bào"
"爆","bào"
"忁","bào"
"蚫","bào"
"瀑","bào"
"宀","bǎo"
"賲","bǎo"
"寶","bǎo"
"靌","bǎo"
"宝","bǎo"
"饱","bǎo"
"保","bǎo"
"鸨","bǎo"
"珤","bǎo"
"堡","bǎo"
"堢","bǎo"
"媬","bǎo"
"葆","bǎo"
"寚","bǎo"
"飹","bǎo"
"褓","bǎo"
"駂","bǎo"
"鴕","bǎo"
"勹","bāo"
"包","bāo"
"佨","bāo"
"孢","bāo"
"苞","bāo"
"胞","bāo"
"剝","bāo"
"笣","bāo"
"煲","bāo"
"龅","bāo"
"蕔","bāo"
"褒","bāo"
"闁","bāo"
"剥","bāo"
"枹","bāo"
"喺","béi"
"贝","bèi"
"狈","bèi"
"邶","bèi"
"备","bèi"
"牬","bèi"
"苝","bèi"
"鄁","bèi"
"鞴","bèi"
"鐾","bèi"
"背","bèi"
"钡","bèi"
"俻","bèi"
"倍","bèi"
"悖","bèi"
"被","bèi"
"偝","bèi"
"偹","bèi"
"梖","bèi"
"惫","bèi"
"焙","bèi"
"琲","bèi"
"辈","bèi"
"愂","bèi"
"碚","bèi"
"蓓","bèi"
"蛽","bèi"
"褙","bèi"
"骳","bèi"
"垻","bèi"
"琩","bèi"
"昸","bèi"
"僨","bèi"
"杮","bèi"
"輐","bèi"
"棑","bèi"
"哱","bèi"
"誶","bèi"
"糽","bèi"
"秄","bèi"
"北","běi"
"鉳","běi"
"碑","bēi"
"鹎","bēi"
"藣","bēi"
"陂","bēi"
"卑","bēi"
"杯","bēi"
"悲","bēi"
"揹","bēi"
"椑","bēi"
"諀","bēi"
"柸","bēi"
"錭","bēi"
"呗","bei0"
"坌","bèn"
"捹","bèn"
"笨","bèn"
"撪","bèn"
"輽","bèn"
"炃","bèn"
"燌","bèn"
"條","bèn"
"夲","běn"
"妋","běn"
"本","běn"
"苯","běn"
"畚","běn"
"楍","běn"
"翉","běn"
"贲","bēn"
"倴","bēn"
"渀","bēn"
"犇","bēn"
"锛","bēn"
"奔","bēn"
"甭","bénɡ"
"泵","bènɡ"
"迸","bènɡ"
"塴","bènɡ"
"甏","bènɡ"
"蹦","bènɡ"
"間","bènɡ"
"遤","bènɡ"
"錫","bènɡ"
"萫","běnɡ"
"琫","běnɡ"
"埄","běnɡ"
"琣","běnɡ"
"鞛","běnɡ"
"崩","bēnɡ"
"绷","bēnɡ"
"絣","bēnɡ"
"閍","bēnɡ"
"伻","bēnɡ"
"祊","bēnɡ"
"嵭","bēnɡ"
"嘣","bēnɡ"
"挷","bēnɡ"
"搒","bēnɡ"
"柲","bí"
"荸","bí"
"鼻","bí"
"嬶","bí"
"匂","bì"
"币","bì"
"必","bì"
"毕","bì"
"闭","bì"
"佖","bì"
"坒","bì"
"庇","bì"
"诐","bì"
"邲","bì"
"妼","bì"
"畀","bì"
"苾","bì"
"哔","bì"
"毖","bì"
"珌","bì"
"荜","bì"
"陛","bì"
"毙","bì"
"狴","bì"
"袐","bì"
"铋","bì"
"婢","bì"
"庳","bì"
"敝","bì"
"梐","bì"
"飶","bì"
"弊","bì"
"熚","bì"
"獙","bì"
"碧","bì"
"箅","bì"
"箆","bì"
"萆","bì"
"萞","bì"
"閇","bì"
"堛","bì"
"弻","bì"
"弼","bì"
"愊","bì"
"愎","bì"
"湢","bì"
"皕","bì"
"筚","bì"
"彃","bì"
"楅","bì"
"滗","bì"
"滭","bì"
"煏","bì"
"痹","bì"
"痺","bì"
"腷","bì"
"蓖","bì"
"蜌","bì"
"裨","bì"
"跸","bì"
"閟","bì"
"綼","bì"
"蔽","bì"
"鄪","bì"
"幤","bì"
"獘","bì"
"駜","bì"
"髲","bì"
"壁","bì"
"嬖","bì"
"篦","bì"
"縪","bì"
"薜","bì"
"觱","bì"
"避","bì"
"濞","bì"
"臂","bì"
"鞞","bì"
"髀","bì"
"奰","bì"
"璧","bì"
"鄨","bì"
"饆","bì"
"襞","bì"
"襣","bì"
"鏎","bì"
"韠","bì"
"魓","bì"
"鷩","bì"
"鼊","bì"
"驆","bì"
"鷝","bì"
"弝","bì"
"鮩","bì"
"咇","bì"
"躭","bì"
"恜","bì"
"脃","bì"
"闬","bì"
"鶝","bì"
"纕","bì"
"鮥","bì"
"馿","bì"
"痳","bì"
"躪","bì"
"襨","bì"
"賑","bì"
"鹓","bì"
"趐","bì"
"義","bì"
"痟","bǐ"
"箃","bǐ"
"箄","bǐ"
"粊","bǐ"
"舭","bǐ"
"啚","bǐ"
"鄙","bǐ"
"聛","bǐ"
"匕","bǐ"
"比","bǐ"
"夶","bǐ"
"朼","bǐ"
"佊","bǐ"
"吡","bǐ"
"妣","bǐ"
"沘","bǐ"
"彼","bǐ"
"柀","bǐ"
"秕","bǐ"
"俾","bǐ"
"笔","bǐ"
"皀","bī"
"屄","bī"
"偪","bī"
"毴","bī"
"逼","bī"
"鲾","bī"
"鎞","bī"
"豴","bī"
"悂","bī"
"鵶","bī"
"沵","biàn"
"便","biàn"
"变","biàn"
"変","biàn"
"卞","biàn"
"弁","biàn"
"忭","biàn"
"抃","biàn"
"汴","biàn"
"苄","biàn"
"昪","biàn"
"缏","biàn"
"遍","biàn"
"辡","biàn"
"艑","biàn"
"辨","biàn"
"辩","biàn"
"辫","biàn"
"峯","biàn"
"辧","biǎn"
"藊","biǎn"
"釆","biǎn"
"炞","biǎn"
"贬","biǎn"
"扁","biǎn"
"窆","biǎn"
"匾","biǎn"
"惼","biǎn"
"碥","biǎn"
"褊","biǎn"
"鴘","biǎn"
"痸","biǎn"
"鶣","biǎn"
"穐","biǎn"
"搊","biān"
"舩","biān"
"甼","biān"
"编","biān"
"萹","biān"
"煸","biān"
"箯","biān"
"蝙","biān"
"邉","biān"
"鳊","biān"
"鞭","biān"
"鯾","biān"
"边","biān"
"砭","biān"
"笾","biān"
"鎞","biān"
"俵","biào"
"鳔","biào"
"檦","biǎo"
"表","biǎo"
"婊","biǎo"
"裱","biǎo"
"諘","biǎo"
"襢","biǎo"
"僩","biāo"
"贆","biāo"
"穮","biāo"
"镳","biāo"
"飊","biāo"
"摽","biāo"
"幖","biāo"
"滮","biāo"
"骠","biāo"
"熛","biāo"
"膘","biāo"
"麃","biāo"
"瘭","biāo"
"镖","biāo"
"飙","biāo"
"飚","biāo"
"儦","biāo"
"颷","biāo"
"瀌","biāo"
"彪","biāo"
"标","biāo"
"飑","biāo"
"髟","biāo"
"脿","biāo"
"墂","biāo"
"藨","biāo"
"爂","biāo"
"獃","biāo"
"蔱","biāo"
"篻","biāo"
"徱","biāo"
"髏","biāo"
"别","bié"
"莂","bié"
"別","bié"
"蛂","bié"
"徶","bié"
"蹩","bié"
"襵","bié"
"瘪","biě"
"憋","biē"
"鳖","biē"
"虌","biē"
"龞","biē"
"氞","bìn"
"摈","bìn"
"殡","bìn"
"膑","bìn"
"鬂","bìn"
"髌","bìn"
"鬓","bìn"
"镔","bīn"
"濒","bīn"
"虨","bīn"
"豳","bīn"
"蠙","bīn"
"顮","bīn"
"邠","bīn"
"宾","bīn"
"彬","bīn"
"傧","bīn"
"斌","bīn"
"椕","bīn"
"滨","bīn"
"缤","bīn"
"槟","bīn"
"訜","bīn"
"玢","bīn"
"靍","bīn"
"瀖","bīn"
"傡","bìnɡ"
"摒","bìnɡ"
"誁","bìnɡ"
"靐","bìnɡ"
"并","bìnɡ"
"併","bìnɡ"
"垪","bìnɡ"
"倂","bìnɡ"
"栤","bìnɡ"
"病","bìnɡ"
"疒","bìnɡ"
"恡","bǐnɡ"
"皊","bǐnɡ"
"庰","bǐnɡ"
"昞","bǐnɡ"
"昺","bǐnɡ"
"丙","bǐnɡ"
"邴","bǐnɡ"
"陃","bǐnɡ"
"抦","bǐnɡ"
"秉","bǐnɡ"
"苪","bǐnɡ"
"柄","bǐnɡ"
"炳","bǐnɡ"
"饼","bǐnɡ"
"窉","bǐnɡ"
"蛃","bǐnɡ"
"棅","bǐnɡ"
"禀","bǐnɡ"
"鈵","bǐnɡ"
"鉼","bǐnɡ"
"鞆","bǐnɡ"
"燷","bǐnɡ"
"皉","bǐnɡ"
"饁","bǐnɡ"
"仌","bīnɡ"
"冰","bīnɡ"
"兵","bīnɡ"
"栟","bīnɡ"
"梹","bīnɡ"
"鋲","bīnɡ"
"幷","bīnɡ"
"啵","bo"
"卜","bo"
"踣","bó"
"鋍","bó"
"犦","bó"
"髆","bó"
"襮","bó"
"礴","bó"
"欂","bó"
"脖","bó"
"豰","bó"
"嚗","bó"
"懪","bó"
"簙","bó"
"煿","bó"
"牔","bó"
"箔","bó"
"膊","bó"
"艊","bó"
"胉","bó"
"亳","bó"
"挬","bó"
"浡","bó"
"秡","bó"
"僰","bó"
"仢","bó"
"伯","bó"
"孛","bó"
"驳","bó"
"帛","bó"
"泊","bó"
"狛","bó"
"瓝","bó"
"苩","bó"
"勃","bó"
"钹","bó"
"铂","bó"
"淿","bó"
"舶","bó"
"博","bó"
"渤","bó"
"湐","bó"
"葧","bó"
"鹁","bó"
"愽","bó"
"搏","bó"
"俷","bó"
"鄏","bó"
"閐","bó"
"馽","bó"
"裫","bó"
"馻","bó"
"駀","bó"
"穛","bó"
"祌","bó"
"寈","bò"
"譴","bò"
"檘","bò"
"蘺","bò"
"襱","bò"
"簸","bò"
"擘","bò"
"檗","bò"
"糪","bò"
"跛","bǒ"
"箥","bǒ"
"蚾","bǒ"
"钵","bō"
"饽","bō"
"菠","bō"
"僠","bō"
"嶓","bō"
"播","bō"
"蹳","bō"
"驋","bō"
"玻","bō"
"拨","bō"
"波","bō"
"癶","bō"
"趵","bō"
"帗","bō"
"碽","bō"
"鱭","bō"
"裝","bō"
"眂","bō"
"輹","bú"
"辦","bú"
"醭","bú"
"不","bù"
"布","bù"
"佈","bù"
"吥","bù"
"步","bù"
"咘","bù"
"怖","bù"
"歨","bù"
"歩","bù"
"钚","bù"
"勏","bù"
"埗","bù"
"悑","bù"
"部","bù"
"埠","bù"
"瓿","bù"
"蔀","bù"
"郶","bù"
"篰","bù"
"簿","bù"
"踶","bù"
"尃","bù"
"箁","bù"
"抪","bù"
"饃","bù"
"廵","bù"
"鴊","bǔ"
"擈","bǔ"
"鹮","bǔ"
"卟","bǔ"
"补","bǔ"
"哺","bǔ"
"捕","bǔ"
"獛","bǔ"
"峬","bū"
"庯","bū"
"逋","bū"
"钸","bū"
"晡","bū"
"誧","bū"
"鵯","bū"
"餵","bū"
"遪","cà"
"礤","cǎ"
"礸","cǎ"
"擦","cā"
"攃","cā"
"才","cái"
"材","cái"
"财","cái"
"戝","cái"
"裁","cái"
"菜","cài"
"棌","cài"
"蔡","cài"
"縩","cài"
"采","cǎi"
"埰","cǎi"
"婇","cǎi"
"寀","cǎi"
"彩","cǎi"
"睬","cǎi"
"踩","cǎi"
"緕","cǎi"
"偲","cāi"
"猜","cāi"
"揾","cāi"
"乲","cal"
"残","cán"
"蚕","cán"
"惭","cán"
"蝅","cán"
"衪","cán"
"灿","càn"
"粲","càn"
"儏","càn"
"澯","càn"
"璨","càn"
"謲","càn"
"爘","càn"
"薼","càn"
"惨","cǎn"
"噆","cǎn"
"憯","cǎn"
"黪","cǎn"
"参","cān"
"飡","cān"
"骖","cān"
"喰","cān"
"湌","cān"
"嬠","cān"
"餐","cān"
"嵾","cān"
"藏","cánɡ"
"欌","cánɡ"
"鑶","cánɡ"
"賶","cànɡ"
"舱","cānɡ"
"凔","cānɡ"
"嵢","cānɡ"
"獊","cānɡ"
"沧","cānɡ"
"苍","cānɡ"
"螥","cānɡ"
"罉","cānɡ"
"仓","cānɡ"
"瀙","cānɡ"
"曺","cáo"
"曹","cáo"
"嘈","cáo"
"嶆","cáo"
"漕","cáo"
"蓸","cáo"
"槽","cáo"
"艚","cáo"
"螬","cáo"
"鏪","cáo"
"襣","cáo"
"鄵","cào"
"襙","cào"
"胔","cào"
"艹","cǎo"
"草","cǎo"
"愺","cǎo"
"懆","cǎo"
"騲","cǎo"
"操","cāo"
"糙","cāo"
"厠","cè"
"策","cè"
"萴","cè"
"冊","cè"
"册","cè"
"侧","cè"
"厕","cè"
"恻","cè"
"测","cè"
"敇","cè"
"箣","cè"
"憡","cè"
"蓛","cè"
"墄","cè"
"刂","cè"
"葃","cè"
"莚","cè"
"岑","cén"
"梣","cén"
"涔","cén"
"膥","cēn"
"竲","cénɡ"
"驓","cénɡ"
"层","cénɡ"
"曾","cénɡ"
"蹭","cènɡ"
"噌","cēnɡ"
"硛","ceok"
"硳","ceok"
"峩","ceom"
"猠","ceon"
"乽","ceor"
"垞","chá"
"查","chá"
"茬","chá"
"茶","chá"
"嵖","chá"
"搽","chá"
"猹","chá"
"槎","chá"
"察","chá"
"碴","chá"
"檫","chá"
"奼","chà"
"汊","chà"
"岔","chà"
"侘","chà"
"诧","chà"
"剎","chà"
"姹","chà"
"差","chà"
"镲","chǎ"
"衩","chǎ"
"叉","chā"
"杈","chā"
"臿","chā"
"偛","chā"
"嗏","chā"
"插","chā"
"銟","chā"
"锸","chā"
"艖","chā"
"疀","chā"
"鎈","chā"
"嚓","chā"
"胮","chā"
"苚","chā"
"犲","chái"
"侪","chái"
"柴","chái"
"祡","chái"
"豺","chái"
"喍","chái"
"虿","chài"
"袃","chài"
"瘥","chài"
"囆","chài"
"拆","chāi"
"钗","chāi"
"毚","chán"
"鄽","chán"
"劖","chán"
"蟾","chán"
"酁","chán"
"獑","chán"
"蝉","chán"
"鋋","chán"
"廛","chán"
"潹","chán"
"潺","chán"
"磛","chán"
"婵","chán"
"谗","chán"
"孱","chán"
"棎","chán"
"湹","chán"
"禅","chán"
"馋","chán"
"煘","chán"
"缠","chán"
"壥","chán"
"巉","chán"
"瀺","chán"
"瀍","chán"
"纒","chán"
"躔","chán"
"芺","chán"
"閗","chán"
"縞","chán"
"繿","chán"
"澶","chán"
"誷","chán"
"忏","chàn"
"硟","chàn"
"摲","chàn"
"懴","chàn"
"颤","chàn"
"羼","chàn"
"韂","chàn"
"铲","chǎn"
"阐","chǎn"
"蒇","chǎn"
"剷","chǎn"
"嵼","chǎn"
"摌","chǎn"
"幝","chǎn"
"产","chǎn"
"刬","chǎn"
"閳","chǎn"
"簅","chǎn"
"冁","chǎn"
"醦","chǎn"
"浐","chǎn"
"谄","chǎn"
"灛","chǎn"
"讇","chǎn"
"昪","chǎn"
"乸","chǎn"
"脠","chān"
"嚵","chān"
"辿","chān"
"觇","chān"
"梴","chān"
"掺","chān"
"搀","chān"
"裧","chān"
"摻","chān"
"鋓","chān"
"幨","chān"
"襜","chān"
"兏","chánɡ"
"肠","chánɡ"
"苌","chánɡ"
"尝","chánɡ"
"偿","chánɡ"
"常","chánɡ"
"徜","chánɡ"
"鋿","chánɡ"
"嚐","chánɡ"
"蟐","chánɡ"
"鲿","chánɡ"
"长","chánɡ"
"嫦","chánɡ"
"瑺","chánɡ"
"尙","chánɡ"
"鏻","chánɡ"
"甦","chánɡ"
"韔","chànɡ"
"怅","chànɡ"
"玚","chànɡ"
"畅","chànɡ"
"倡","chànɡ"
"鬯","chànɡ"
"唱","chànɡ"
"畼","chànɡ"
"誯","chànɡ"
"氅","chǎnɡ"
"鋹","chǎnɡ"
"厂","chǎnɡ"
"场","chǎnɡ"
"昶","chǎnɡ"
"惝","chǎnɡ"
"敞","chǎnɡ"
"儁","chǎnɡ"
"渃","chānɡ"
"裮","chānɡ"
"锠","chānɡ"
"鲳","chānɡ"
"鼚","chānɡ"
"伥","chānɡ"
"昌","chānɡ"
"娼","chānɡ"
"猖","chānɡ"
"菖","chānɡ"
"阊","chānɡ"
"晿","chānɡ"
"椙","chānɡ"
"琩","chānɡ"
"嘲","cháo"
"潮","cháo"
"牊","cháo"
"晁","cháo"
"巢","cháo"
"巣","cháo"
"朝","cháo"
"鄛","cháo"
"漴","cháo"
"竕","cháo"
"羦","cháo"
"辌","cháo"
"仦","chào"
"耖","chào"
"觘","chào"
"吵","chǎo"
"炒","chǎo"
"眧","chǎo"
"煼","chǎo"
"麨","chǎo"
"巐","chǎo"
"粆","chǎo"
"抄","chāo"
"弨","chāo"
"怊","chāo"
"欩","chāo"
"钞","chāo"
"焯","chāo"
"超","chāo"
"緆","chāo"
"焑","chè"
"頹","chè"
"彻","chè"
"坼","chè"
"迠","chè"
"聅","chè"
"掣","chè"
"硩","chè"
"撤","chè"
"澈","chè"
"勶","chè"
"瞮","chè"
"爡","chè"
"喢","chè"
"扯","chě"
"偖","chě"
"砗","chē"
"唓","chē"
"车","chē"
"莗","chē"
"蛼","chē"
"賝","chen"
"伧","chen"
"尘","chén"
"臣","chén"
"忱","chén"
"沉","chén"
"辰","chén"
"陈","chén"
"茞","chén"
"宸","chén"
"莐","chén"
"敐","chén"
"晨","chén"
"谌","chén"
"麎","chén"
"曟","chén"
"鷐","chén"
"煁","chén"
"蔯","chén"
"樄","chén"
"瘎","chén"
"霃","chén"
"薼","chén"
"搝","chén"
"蟟","chén"
"焔","chén"
"痬","chèn"
"齳","chèn"
"龀","chèn"
"趁","chèn"
"榇","chèn"
"衬","chèn"
"嚫","chèn"
"谶","chèn"
"趻","chěn"
"碜","chěn"
"墋","chěn"
"夦","chěn"
"踸","chěn"
"贂","chěn"
"諃","chēn"
"抻","chēn"
"郴","chēn"
"琛","chēn"
"嗔","chēn"
"綿","chēn"
"塻","chénɡ"
"琣","chénɡ"
"丞","chénɡ"
"成","chénɡ"
"呈","chénɡ"
"承","chénɡ"
"枨","chénɡ"
"诚","chénɡ"
"城","chénɡ"
"宬","chénɡ"
"掁","chénɡ"
"窚","chénɡ"
"脭","chénɡ"
"铖","chénɡ"
"惩","chénɡ"
"程","chénɡ"
"筬","chénɡ"
"絾","chénɡ"
"裎","chénɡ"
"塍","chénɡ"
"溗","chénɡ"
"碀","chénɡ"
"畻","chénɡ"
"酲","chénɡ"
"澄","chénɡ"
"橙","chénɡ"
"檙","chénɡ"
"鯎","chénɡ"
"峸","chénɡ"
"洆","chénɡ"
"荿","chénɡ"
"乘","chénɡ"
"埕","chénɡ"
"挰","chénɡ"
"瀓","chénɡ"
"騬","chénɡ"
"鄇","chénɡ"
"秤","chènɡ"
"悜","chěnɡ"
"逞","chěnɡ"
"骋","chěnɡ"
"庱","chěnɡ"
"睈","chěnɡ"
"鏳","chēnɡ"
"鏿","chēnɡ"
"饓","chēnɡ"
"憆","chēnɡ"
"摚","chēnɡ"
"靗","chēnɡ"
"撑","chēnɡ"
"瞠","chēnɡ"
"頳","chēnɡ"
"称","chēnɡ"
"阷","chēnɡ"
"泟","chēnɡ"
"柽","chēnɡ"
"棦","chēnɡ"
"浾","chēnɡ"
"偁","chēnɡ"
"蛏","chēnɡ"
"铛","chēnɡ"
"牚","chēnɡ"
"琤","chēnɡ"
"趙","chēnɡ"
"縝","chēnɡ"
"竩","chēnɡ"
"峣","chí"
"踟","chí"
"篪","chí"
"謘","chí"
"弛","chí"
"池","chí"
"驰","chí"
"迟","chí"
"茌","chí"
"持","chí"
"墀","chí"
"筸","chí"
"遷","chí"
"賞","chí"
"渇","chí"
"餾","chì"
"耣","chì"
"焨","chì"
"膕","chì"
"炽","chì"
"翅","chì"
"敕","chì"
"痓","chì"
"啻","chì"
"湁","chì"
"傺","chì"
"痸","chì"
"彳","chì"
"叱","chì"
"斥","chì"
"灻","chì"
"赤","chì"
"饬","chì"
"抶","chì"
"瘛","chì"
"懘","chì"
"趩","chì"
"饎","chì"
"鶒","chì"
"鷘","chì"
"雴","chì"
"憏","chì"
"翤","chì"
"遫","chì"
"恜","chì"
"鉳","chì"
"慾","chì"
"鉹","chǐ"
"褫","chǐ"
"尺","chǐ"
"叺","chǐ"
"侈","chǐ"
"卶","chǐ"
"齿","chǐ"
"垑","chǐ"
"耻","chǐ"
"豉","chǐ"
"歯","chǐ"
"胣","chǐ"
"裭","chǐ"
"胠","chǐ"
"蚽","chǐ"
"鵤","chī"
"杘","chī"
"彲","chī"
"黐","chī"
"瞝","chī"
"螭","chī"
"魑","chī"
"齝","chī"
"蚩","chī"
"鸱","chī"
"眵","chī"
"笞","chī"
"嗤","chī"
"媸","chī"
"摛","chī"
"痴","chī"
"吃","chī"
"妛","chī"
"侙","chī"
"哧","chī"
"彨","chī"
"摴","chī"
"黬","chī"
"詗","chī"
"甧","chī"
"虫","chónɡ"
"崇","chónɡ"
"崈","chónɡ"
"隀","chónɡ"
"沖","chònɡ"
"铳","chònɡ"
"宠","chǒnɡ"
"艟","chōnɡ"
"蹖","chōnɡ"
"茺","chōnɡ"
"浺","chōnɡ"
"珫","chōnɡ"
"翀","chōnɡ"
"舂","chōnɡ"
"嘃","chōnɡ"
"摏","chōnɡ"
"憃","chōnɡ"
"褈","chōnɡ"
"充","chōnɡ"
"冲","chōnɡ"
"忡","chōnɡ"
"憧","chōnɡ"
"羫","chōnɡ"
"栦","chóu"
"惆","chóu"
"绸","chóu"
"菗","chóu"
"畴","chóu"
"絒","chóu"
"愁","chóu"
"皗","chóu"
"稠","chóu"
"筹","chóu"
"酬","chóu"
"踌","chóu"
"雔","chóu"
"嬦","chóu"
"懤","chóu"
"仇","chóu"
"俦","chóu"
"燽","chóu"
"雠","chóu"
"臭","chòu"
"遚","chòu"
"殠","chòu"
"瞅","chǒu"
"丑","chǒu"
"吜","chǒu"
"杽","chǒu"
"乪","chǒu"
"俫","chǒu"
"踫","chōu"
"瘳","chōu"
"犨","chōu"
"犫","chōu"
"抽","chōu"
"紬","chōu"
"簄","chōu"
"掫","chōu"
"榸","chu"
"橻","chu"
"簒","chú"
"厨","chú"
"滁","chú"
"豠","chú"
"刍","chú"
"除","chú"
"锄","chú"
"蒭","chú"
"蜍","chú"
"趎","chú"
"雏","chú"
"犓","chú"
"橱","chú"
"幮","chú"
"櫉","chú"
"蟵","chú"
"躇","chú"
"蹰","chú"
"蓏","chú"
"鷕","chú"
"媰","chú"
"畜","chù"
"踰","chù"
"亍","chù"
"竌","chù"
"触","chù"
"閦","chù"
"儊","chù"
"俶","chù"
"搐","chù"
"怵","chù"
"拀","chù"
